Title,Note,URL,Tags,Comment
Coming Soon,,https://www.google.com/maps/place/Coming+Soon/data=!4m2!3m1!1s0x89c25a29c9536351:0xffbe03f1e3530a14,🛍️ Shopping,
Arthur Avenue Retail Market,,https://www.google.com/maps/place/Arthur+Avenue+Retail+Market/data=!4m2!3m1!1s0x89c2f4874335cded:0x87011fd99b375fb5,🛍️ Shopping,
Union Square Greenmarket,,https://www.google.com/maps/place/Union+Square+Greenmarket/data=!4m2!3m1!1s0x89c2599f73100bf7:0x1e491fafbfbceda2,🛍️ Shopping,
Grand Central Market,,https://www.google.com/maps/place/Grand+Central+Market/data=!4m2!3m1!1s0x89c259023ac8dc8f:0x75febadbef55ecba,🛍️ Shopping,
Verse,,https://www.google.com/maps/place/Verse/data=!4m2!3m1!1s0x89c25f000278e50f:0xb26905b6f0dad703,☕️ Cafe,
From Lucie,,https://www.google.com/maps/place/From+Lucie/data=!4m2!3m1!1s0x89c259f1785a2917:0x728dee7e744d177d,🥨 Snack,
Fabrique Artisan Bakery,,https://www.google.com/maps/place/Fabrique+Artisan+Bakery/data=!4m2!3m1!1s0x89c2591dfa7d103f:0xf076dd95447fc641,🥨 Snack,
Little Cupcake Bakeshop,,https://www.google.com/maps/place/Little+Cupcake+Bakeshop/data=!4m2!3m1!1s0x89c2598f585d7627:0xac8afce849d773db,🥨 Snack,
Somedays Bakery - Flatiron,,https://www.google.com/maps/place/Somedays+Bakery+-+Flatiron/data=!4m2!3m1!1s0x89c2590002df7eaf:0xe2d572f1f1737596,🥨 Snack,
La Bicyclette Bakery,,https://www.google.com/maps/place/La+Bicyclette+Bakery/data=!4m2!3m1!1s0x89c25b943ae9a5c9:0x3082442077f43fc5,🥨 Snack,
Supermoon Bakehouse,,https://www.google.com/maps/place/Supermoon+Bakehouse/data=!4m2!3m1!1s0x89c259816b253671:0xa982ed6d6875ed61,🥨 Snack,
Librae Bakery,,https://www.google.com/maps/place/Librae+Bakery/data=!4m2!3m1!1s0x89c25943f1ac200f:0x35eadc7fbe1dd768,🥨 Snack,
Radio Bakery,,https://www.google.com/maps/place/Radio+Bakery/data=!4m2!3m1!1s0x89c259f7069ad989:0x7eadffe63191e6a5,🥨 Snack,
Tai Pan Bakery,,https://www.google.com/maps/place/Tai+Pan+Bakery/data=!4m2!3m1!1s0x89c25a277175cedf:0x865c948546d06014,🥨 Snack,
Westlight,,https://www.google.com/maps/place/Westlight/data=!4m2!3m1!1s0x89c25942d18e435b:0x499f2c9ebc580a69,,
Smorgasburg Williamsburg,,https://www.google.com/maps/place/Smorgasburg+Williamsburg/data=!4m2!3m1!1s0x89c25967b1b8e0f7:0x927a439e1c9c3b8c,🛍️ Shopping,
Artists & Fleas Market Williamsburg,,https://www.google.com/maps/place/Artists+%26+Fleas+Market+Williamsburg/data=!4m2!3m1!1s0x89c25967a06fcc63:0xa15c7c34e760ff49,🛍️ Shopping,
Monk Vintage,,https://www.google.com/maps/place/Monk+Vintage/data=!4m2!3m1!1s0x89c2595c681e9723:0x70aebcc18d376028,🛍️ Shopping,
PPL,,https://www.google.com/maps/place/PPL/data=!4m2!3m1!1s0x89c25bd0233eae11:0x8d59e485e6212584,☕️ Cafe,
Sadelle's New York,,https://www.google.com/maps/place/Sadelle's+New+York/data=!4m2!3m1!1s0x89c2598e7111c53f:0x52f80ad77c5d5a84,🥓 Brunch,
Jabä,,https://www.google.com/maps/place/Jab%C3%A4/data=!4m2!3m1!1s0x89c259dc6b0c94c3:0xda4fa45c34598300,🍽️ Restaurant,
Soothr,,https://www.google.com/maps/place/Soothr/data=!4m2!3m1!1s0x89c25923d7bca4d1:0x5bbeae84d9924f22,🍽️ Restaurant,
Fish Cheeks,,https://www.google.com/maps/place/Fish+Cheeks/data=!4m2!3m1!1s0x89c259853cdfce81:0x9fddf144feac940,🍽️ Restaurant,
Metrograph,,https://www.google.com/maps/place/Metrograph/data=!4m2!3m1!1s0x89c25a29b0ecc1e7:0x56ae0ed254bafa79,,
Arcane Estate Coffee,,https://www.google.com/maps/place/Arcane+Estate+Coffee/data=!4m2!3m1!1s0x89c2592ae63d93f9:0xf472cce328f1924a,☕️ Cafe,
Domino Park,,https://www.google.com/maps/place/Domino+Park/data=!4m2!3m1!1s0x89c25941934bb85f:0x486aa5dc8e5c1416,,
New York Stock Exchange,,https://www.google.com/maps/place/New+York+Stock+Exchange/data=!4m2!3m1!1s0x89c25a161980d8a1:0x9e5797d5a981701d,,
DOORS NYC,,https://www.google.com/maps/place/DOORS+NYC/data=!4m2!3m1!1s0x89c2595ea8103417:0xaba8918c63859b39,🛍️ Shopping,
The RealReal,,https://www.google.com/maps/place/The+RealReal/data=!4m2!3m1!1s0x89c2598c053f281b:0x49217ce9f5498c77,🛍️ Shopping,
Rouje,,https://www.google.com/maps/place/Rouje/data=!4m2!3m1!1s0x89c259eff6c65067:0xf921f5af6d31a5e0,🛍️ Shopping,
& Other Stories,,https://www.google.com/maps/place/%26+Other+Stories/data=!4m2!3m1!1s0x89c2598efd2429e3:0x9c63308fd695dd53,🛍️ Shopping,
Two Hands,,https://www.google.com/maps/place/Two+Hands/data=!4m2!3m1!1s0x89c25a2016a99edb:0x88ec33f0145c91f8,🥓 Brunch,
Leon's Bagels,,https://www.google.com/maps/place/Leon's+Bagels/data=!4m2!3m1!1s0x89c25967b0b5a6d1:0x224d8dcf732be8f4,🥨 Snack,
Wah Fung No.1 Fast Food,,https://www.google.com/maps/place/Wah+Fung+No.1+Fast+Food/data=!4m2!3m1!1s0x89c25987ffa99e09:0xfbce3ee954c0d58a,🍽️ Restaurant,
